ID;Name;Direction1;Direction2;Coordinates
23404;Tie 9 Suinula;Orivesi;Tampere;[24.071580736542632, 61.54982288406275, 0.0]
23405;Tie 10 Hämeenlinna;Lammi;Hämeenlinna;[24.66644697580985, 61.04728552830659, 0.0]
23406;Tie 11 Nokia;Pori;Tampere;[23.36805649044421, 61.50385853784292, 0.0]
23407;Tie 12 Hollola;Hollola;Lammi;[25.282269390561243, 61.00462989420066, 0.0]
23408;Tie 54 Hausjärvi;Hollola;Riihimäki;[24.97636768705844, 60.79310554946995, 0.0]
23409;Tie 66 Ruovesi;Virrat;Ruovesi;[24.02761245733252, 62.013429759735466, 0.0]
23421;Tie 65 Ylöjärvi;Hämeenkyrö;Tampere;[23.607492602329202, 61.54413961018525, 0.0]
23422;Tie 190 Viiala;Tampere;Urjala;[23.738401267437105, 61.24179733390908, 0.0]
23424;Tie 4 Renkomäki;Lahti;Mäntsälä;[25.61360926593774, 60.90757709587656, 0.0]
23425;Tie 10 Tammela;Hämeenlinna;Forssa;[23.787927762379358, 60.82564642004223, 0.0]
23426;Tie 12 Hauho;Lammi;Hauho;[24.685769249075996, 61.15947595012318, 0.0]
23428;Tie 54 Loppi;Loppi;Forssa;[24.393023755284617, 60.73160532262464, 0.0]
23429;Tie 3 Riihimäki;Riihimäki;Helsinki;[24.736828306483417, 60.70951244281193, 0.0]
23430;Tie 24 Asikkala;Asikkala;Lahti;[25.637910999708076, 61.126882452955336, 0.0]
23431;Tie 12 Suorama;Kangasala;Tampere;[23.97741325745582, 61.478619340764965, 0.0]
23432;Tie 3 Janakkala;Hämeenlinna;Riihimäki;[24.59750686934825, 60.854666468380884, 0.0]
23433;Tie 130 Valkeakoski;Tampere;Hämeenlinna;[23.95574828569309, 61.28564013195272, 0.0]
23435;Tie 9 Karkuvuori;Orivesi;Tampere;[23.80847073774344, 61.463651612206135, 0.0]
23436;Tie 13782 Nokia, Rajasalmi;Nokia;Tampere;[23.58678202012615, 61.47880749552596, 0.0]
23437;Tie 3 Hämeenlinna;Tampere;Riihimäki;[24.412691190145782, 61.015127290628875, 0.0]
23438;Tie 12 Uittotunneli;Tampere;Nokia;[23.69767947320583, 61.5084076013667, 0.0]
23439;Tie 12 Tampere, Keskussair;Kangasala;Tampere;[23.821503106716573, 61.50416335835052, 0.0]
23440;Tie 3 Lempäälä;Tampere;Hämeenlinna;[23.837493745194802, 61.252700083176, 0.0]
23441;Tie 140 Hollola;Heinola;Lahti;[25.750282870937344, 61.037244196125116, 0.0]
23442;Tie 4 Heinola, Lusi;Jyväskylä;Heinola;[26.041198763720875, 61.33637537358129, 0.0]
23443;Tampere, Pispalan valtatie;Tampere;Nokia;[69.42202901692366, 53.27831703506959, 0.0]
23445;Tie 9 Kylmäkoski;Tampere;NA;[23.647574562814455, 61.11550289588699, 0.0]
23446;Tie 12 Lahti, Kärpäsenmäki;Lahti;Hollola;[25.595009774749535, 60.98117701762725, 0.0]
23447;Tie 12 Lahti, Joutjärvi;NA;Lahti;[25.697979687398092, 60.973186625682104, 0.0]
23448;Tie 9 Längelmäki, Solttila;Jämsä;Orivesi;[24.708949578447776, 61.73147959329712, 0.0]
23449;Tie 3 Sarankulma;Nokia;Tampere;[23.745350325731543, 61.46026166651884, 0.0]
23450;Tie 3 Myllypuro;Ylöjärvi;Nokia;[23.568130631324863, 61.515738642039054, 0.0]
23451;Tie 9 Aitovuori;Orivesi;Tampere;[23.93976390538075, 61.52815331152341, 0.0]
23452;Tie 12 Tampere, Onkiniemi;Tampere;Nokia;[23.72965806158702, 61.50261941751076, 0.0]
23453;Tampere, Mustalahti;Tampere;Nokia;[23.739675854780177, 61.50230235772486, 0.0]
23454;Tie 12 Tampella;Kangasala;Nokia;[23.756388295241546, 61.506304155262235, 0.0]
23455;Tie 65 Tampere, Epilänharju;Ylöjärvi;Tampere;[23.654092762532645, 61.51741740611839, 0.0]
23456;Tie 65 Tampere, Lielahti;Ylöjärvi;Tampere;[23.67920676297669, 61.51161586291791, 0.0]
23457;Tie 12 Petsamo;Kangasala;Nokia;[23.785048063655605, 61.50648001186972, 0.0]
23458;Tie 12 Ruotula;Kangasala;Tampere;[23.852788255932477, 61.50419751350424, 0.0]
23460;Tie 3 Pirkkala, Huovi;Nokia;Tampere;[23.636381743566094, 61.45259009183859, 0.0]
23461;Tie 4 Vierumäki;Heinola;Lahti;[25.90593817400894, 61.09851011757983, 0.0]
23462;Tie 3 Nokia, Rajasalmi;Nokia;Tampere;[23.58835850896174, 61.47779563926653, 0.0]
23463;Tie 3 Pirkkala, Sankila;Nokia;Tampere;[23.61772684763147, 61.45945127448848, 0.0]
23464;Tie 3495 Rautaharkko;Tampere;Hämeenlinna;[23.775251966432613, 61.479608071243895, 0.0]
23465;Tie 3 Hämeenlinna, etelä;Tampere;Riihimäki;[24.458373414012172, 60.9905392841568, 0.0]
23466;Tie 3 Hämeenlinna, pohjoinen;Tampere;Riihimäki;[24.45081894671225, 61.000573939264626, 0.0]
23501;Tie 170 Pyhtää, Siltakylä;Kotka;Loviisa;[26.76459182503197, 60.49715117209811, 0.0]
23502;Tie 12 Iitti;Kouvola;Lahti;[26.179252273150283, 60.91327326033393, 0.0]
23503;Tie 26 Kouvola, Saaramaa;Luumäki;Hamina;[27.40573298406063, 60.84813222398919, 0.0]
23504;NA;Vaalimaa;Helsinki;NA
23505;NA;Vaalimaa;Helsinki;NA
23506;Tie 7 Hamina, Lelu;Vaalimaa;Helsinki;[27.34914534180152, 60.56574119980932, 12.64]
23521;Tie 6 Elimäki;Kouvola;Lapinjärvi;[26.484790917570113, 60.77637045872102, 0.0]
23522;Tie 6 Luumäki, kirkko;Lappeenranta;Kouvola;[27.664768024372, 60.934604272124126, 0.0]
23524;Tie 6 Rautjärvi;Parikkala;Imatra;[29.306611304114448, 61.40841900985273, 0.0]
23525;Tie 7 Virolahti, Kattilainen;NA;Hamina;[27.395617190230485, 60.563771105804456, 0.0]
23526;Tie 13 Suomenniemi;Lappeenranta;Mikkeli;[27.384519975865917, 61.319175321843964, 0.0]
23527;Tie 15 Valkeala;Mikkeli;Kouvola;[27.05935954211469, 61.07438332176375, 0.0]
23528;Tie 62 Ruokolahti;Imatra;Puumala;[28.65439205686485, 61.38270168008543, 0.0]
23529;Tie 6 Utti;Lappeenranta;Kouvola;[26.81913870036774, 60.886205082848434, 0.0]
23530;Tie 15 Juurikorpi;Kouvola;Kotka;[26.921899831844595, 60.62361858674837, 0.0]
23531;Tie 6 Vuoksenniska;Joensuu;Lappeenranta;[28.856509261017983, 61.22989299200974, 0.0]
23532;Tie 62 Imatra raja 2;NA;Imatra;[28.83362389509725, 61.12760653891124, 0.0]
23533;Tie 13 Karhusjärvi;NA;Lappeenranta;[28.364389040913416, 61.036816338665105, 0.0]
23534;Tie 6 Muukko;Imatra;Lappeenranta;[28.404703611205772, 61.10149343035414, 0.0]
23535;Tie 62 Imatra raja 1;NA;Imatra;[28.818879417992715, 61.13533998077226, 0.0]
23540;Tie 7 Virolahti, Virojoki;NA;Hamina;[27.717282293547907, 60.58695299668273, 0.0]
23541;Tie 7 Virolahti, Mestarmäki;Vaalimaa;Hamina;[27.813258973786343, 60.60002469322243, 0.0]
23542;Tie 7 Virolahti, Turkkisuo;Venäjä;Suomi;[27.77091163263744, 60.593882537740164, 0.0]
23547;Tie 13 Nuijamaa;NA;Lappeenranta;[28.49221311356658, 60.97743824534927, 0.0]
23550;Tie 7 Virolahti, Vaahterikonsuo;NA;Hamina;[27.634758315578004, 60.57201655658911, 0.0]
23551;Tie 7 Virolahti, Harjula;NA;NA;[27.71830097051868, 60.5867948879379, 0.0]
23555;Tie 170 Hamina, Tallinmäki;NA;Hamina;[27.246780010184338, 60.556416243090624, 0.0]
23556;Tie 6 Selkäharju;Lappeenranta;Kouvola;[28.060645815383747, 61.02837491121023, 0.0]
23557;Tie 6 Lavola;Lappeenranta;Kouvola;[28.125989681671946, 61.036564022648456, 0.0]
23558;Tie 6 Mattila;Lappeenranta;Kouvola;[28.160703506647536, 61.04120838132722, 0.0]
23559;Tie 6 Myllymäki;Imatra;Lappeenranta;[28.198946196675795, 61.04291240178629, 0.0]
23560;Tie 6 Karhuvuori;Imatra;Lappeenranta;[28.24602226233854, 61.05112392896026, 0.0]
23561;Tie 6 Hartikkala;Imatra;Lappeenranta;[28.282198710201982, 61.06177560676156, 0.0]
23562;Tie 6 Mälkiä;Imatra;Lappeenranta;[28.30984790082622, 61.071791336328914, 0.0]
23563;Tie 6 Joutseno;Imatra;Lappeenranta;[28.495180401338978, 61.1203764125697, 0.0]
23564;Tie 6 Vesivalo;Imatra;Lappeenranta;[28.679108074991877, 61.165909311643006, 0.0]
23572;Tie 7 Salminlahti;Hamina;Karhula;[26.995934229664567, 60.550655390240046, 0.0]
23573;Tie 7 Hamina, Summa;Hamina;Karhula;[27.086762100815395, 60.569311551062306, 0.0]
23574;Tie 7 Kyminlinna;Karhula;Kotka;[26.902339573189817, 60.505233190968994, 0.0]
23575;Tie 7 Pyhtää2;Kotka;Loviisa;[26.54646026413169, 60.48639727548994, 0.0]
23576;Tie 7 Kotka, Karhula-Länsi;Karhula;Kotka;[26.926897867911716, 60.51441602092031, 0.0]
23577;Tie 7 Kotka, Otsola-Länsi;Hamina;Karhula;[26.954216626348966, 60.526567190122236, 0.0]
23578;Tie 7 Ahvenkoski2;Kotka;Loviisa;[26.460474323825622, 60.490153663092165, 0.0]
23579;Tie 7 Pyhtää, Siltakylä2;Kotka;Loviisa;[26.701675812235045, 60.50013197591628, 0.0]
23580;Tie 7 Pyhtää, Mokra;Kotka;Loviisa;[26.81102091755666, 60.5010768143404, 0.0]
23581;Tie 7 Virolahti, Vaalimaa;NA;Hamina;[27.869443805870752, 60.60665688336033, 0.0]
23582;Tie 13 Nuijamaa;Viipuri;Lappeenranta;[28.50372553166143, 60.96452340160898, 0.0]
23583;Tie 7 Petäjäsuo;Kotka;Loviisa;[26.855127863855017, 60.497486666487674, 0.0]
23584;Tie 170 Pyhtää;Kotka;Loviisa;[26.681620584331693, 60.49028992516357, 0.0]
23586;Tie 15 Kotka, Kotkansaari;Kouvola;Kotka;[26.921301302277826, 60.46412370118044, 0.0]
23587;Tie 6 Somerharju;Lappeenranta;Kouvola;[27.387623718862994, 60.91327741696205, 0.0]
23590;Tie 12 Iitti, Tillola;Kouvola;Lahti;[26.42967502191006, 60.880548125391776, 0.0]
23591;Tie 15 Kouvola, Kiehuva;Kouvola;Kotka;[26.788494348700073, 60.81754947974138, 0.0]
23592;Tie 6 Metso;Lappeenranta;Kouvola;[26.99961288624747, 60.904803436147056, 0.0]
23593;Tie 387 Ylämaa;NA;Lappeenranta;[27.97994798625298, 60.765027993634384, 0.0]
23594;Tie 6 Hevossuo;Kouvola;Lapinjärvi;[26.541592346460444, 60.841067654167446, 0.0]
23595;Tie 6 Kuusankoski, Puhjo;Lappeenranta;Lapinjärvi;[26.639312485292603, 60.87276207459717, 0.0]
23596;Tie 6 Kouvola, Käyrälampi;Lappeenranta;Kouvola;[26.754926982605785, 60.88464003573863, 0.0]
23597;Tie 13 Nuijamaa, raskaat;Viipuri;Lappeenranta;[28.510392554172377, 60.96021047606332, 0.0]
23598;Tie 7 Virolahti, Vaalimaa, raskas;NA;Hamina;[27.869443805870752, 60.60665688336033, 0.0]
23599;Tie 7 Leppäsaari;Kotka;Loviisa;[26.883346174420197, 60.50124042978821, 7.0]
23602;Tie 5 Mäntyharju;Mikkeli;Heinola;[26.750339512530786, 61.47962028827566, 0.0]
23603;Tie 5 Joroinen;Varkaus;Mikkeli;[27.838070536517748, 62.138213870257985, 0.0]
23604;Tie 13 Ristiina;Lappeenranta;Mikkeli;[27.25168991887959, 61.55658761069134, 0.0]
23605;Tie 14 Juva;Savonlinna;Mikkeli;[27.823353013349983, 61.89890154151693, 0.0]
23606;Tie 14 Savonlinna;Punkaharju;Savonlinna;[28.950363191936923, 61.87171467543729, 0.0]
23607;Tie 72 Virtasalmi;Pieksämäki;Mikkeli;[27.247957648661853, 62.12285337576343, 0.0]
23622;Tie 13 Kangasniemi;Jyväskylä;Mikkeli;[26.49913900558883, 62.09364155364647, 0.0]
23623;Tie 4 Hartola;Jyväskylä;Heinola;[25.979400037078005, 61.49235122639143, 0.0]
23627;Tie 5 Juva, Nuutilanmäki;Juva;Mikkeli;[27.59832586160148, 61.795714072654995, 0.0]
23628;Tie 4 Heinola, Murhamäki;Mikkeli;Heinola;[26.065515600009977, 61.27477513407107, 0.0]
23629;Tie 23 Pieksämäki, Siikamä;Varkaus;Pieksämäki;[27.402816987418543, 62.29078852986738, 0.0]
23630;Tie 5 Pertunmaa, Kuortti;Mikkeli;Heinola;[26.386835657784825, 61.39935961197805, 0.0]
23631;Tie 5 Kuvansi;Varkaus;Joroinen;[27.865150143673155, 62.27653375878965, 0.0]
23632;Tie 14 Savonlinna, Hevonpäänniemi;Savonlinna;Juva;[28.869959674860073, 61.879601691384416, 0.0]
23633;Tie 5 Mikkeli;Kuopio;Lahti;[27.249480510981076, 61.67750464675848, 0.0]
23701;Tie 9 Viinijärvi;Joensuu;Outokumpu;[29.104468778466124, 62.68407734106215, 0.0]
23704;Tie 71 Kesälahti;Kitee;Savonlinna;[29.607403053762265, 62.05345011936881, 0.0]
23705;Tie 73 Lieksa;Lieksa;Joensuu;[30.05009741456161, 63.30388743846957, 0.0]
23723;Tie 23 Liperi;Joensuu;Varkaus;[29.2604833745854, 62.60658764218361, 0.0]
23724;Tie 9 Niirala;Venäjä;Suomi;[30.62245665563365, 62.17168361371424, 0.0]
23725;Tie 6 Juuka 2;Nurmes;Joensuu;[29.230376198809175, 63.29135910943543, 0.0]
23726;Tie 9 Liperi, Ylämylly;Joensuu;Kuopio;[29.582287002114732, 62.62534107075664, 0.0]
23727;Tie 6 Kontiolahti;Nurmes;Joensuu;[29.78608036984058, 62.660065214489634, 0.0]
23729;Tie 70 Tohmajärvi, Kaurila;Venäjä;Suomi;[30.525608218074513, 62.177859759949875, 0.0]
23730;Tie 9 Noljakka;Joensuu;Kuopio;[29.71194322731132, 62.624560422286535, 86.0]
23731;Tie 6 Reijola;Joensuu;Kitee;[29.862888686138408, 62.53077117062751, 0.0]
23732;Tie 6 Kesälahti, Kousa;Joensuu;Imatra;[29.873465386669864, 61.97406074658793, 0.0]
23733;Tie 6 Joensuu;Kajaani;Kitee;[29.780505841854485, 62.61436844692125, 0.0]
23801;Tie 5 Leppävirta;Kuopio;Varkaus;[27.681544382803, 62.52006285262966, 0.0]
23803;Tie 5 Siilinjärvi;Iisalmi;Kuopio;[27.647470643990893, 63.10391608155125, 0.0]
23804;Tie 9 Tuusniemi;Joensuu;Kuopio;[28.33582961486252, 62.87099425028273, 0.0]
23805;Tie 75 Rautavaara;Nurmes;Kuopio;[28.574838946330612, 63.36759249917311, 0.0]
23806;Tie 77 Pielavesi;Siilinjärvi;Viitasaari;[26.71521324279038, 63.19467124248378, 0.0]
23807;Tie 27 Kiuruvesi;Iisalmi;Haapajärvi;[26.432573311396332, 63.67469535964067, 0.0]
23821;Tie 9 Suonenjoki;Kuopio;Jyväskylä;[27.416713506150543, 62.676117876026076, 0.0]
23822;Tie 88 Vieremä;Iisalmi;Oulu;[26.986018271377617, 63.74918751443941, 0.0]
23824;Tie 75 Nilsiä;Nilsiä;Siilinjärvi;[28.059584725108913, 63.15941174295417, 0.0]
23825;Tie 5 Hiltulanlahti;Kuopio;Varkaus;[27.603342459247997, 62.80900086143306, 0.0]
23826;Tie 5 Iisalmi;Kajaani;Kuopio;[27.25175243270364, 63.566830960533395, 0.0]
23827;Tie 17 Jännevirta;Joensuu;Kuopio;[27.882583189004123, 62.94967183632619, 0.0]
23828;Tie 5 Rahusenlampi;Siilinjärvi;Kuopio;[27.67844704044842, 62.917966527077645, 0.0]
23832;Tie 5 Levänen;Kuopio;Leppävirta;[27.619644982440953, 62.869750040165584, 98.0]
23833;Tie 75 Pajukoski;Nilsiä;Siilinjärvi;[27.825265351857222, 63.13485655303362, 0.0]
23834;NA;Siilinjärvi;Kuopio;[27.67928264846736, 62.95234855866421, 0.0]
23835;NA;Siilinjärvi;Kuopio;[27.69678244606191, 62.96379713818802, 0.0]
23836;NA;Siilinjärvi;Kuopio;[27.706255105925877, 62.98209648323237, 0.0]
23901;Tie 4 Tikkakoski;Äänekoski;Jyväskylä;[25.70128242689714, 62.370741901469735, 0.0]
23902;Tie 4 Äänekoski;Viitasaari;Äänekoski;[25.72597776970388, 62.656247044006335, 0.0]
23903;Tie 9 Laukaa, Lievestuore;Kuhmo;Jyväskylä;[26.159011009678384, 62.24825264486939, 0.0]
23904;Tie 13 Saarijärvi;Äänekoski;Kyyjärvi;[25.05928193260764, 62.796192957877466, 0.0]
23905;Tie 23 Keuruu;Jyväskylä;Virrat;[24.56322144890727, 62.24694440040178, 0.0]
23921;Tie 24 Kuhmoinen;Jämsä;Lahti;[25.14680841838214, 61.48854342519406, 0.0]
23922;Tie 9 Muurame;Jyväskylä;Jämsä;[25.628549623379794, 62.095101405389734, 0.0]
23923;Tie 4 Jyväskylä;Jyväskylä;NA;[25.786025298175698, 62.24205357968811, 0.0]
23925;Tie 4 Viitasaari;Pihtipudas;Viitasaari;[25.662949815467044, 63.22440290609713, 0.0]
23927;Tie 9 Korpilahti;Jyväskylä;Jämsä;[25.401237375497242, 61.97769076349379, 0.0]
23928;Tie 4 Joutsa;Jyväskylä;Joutsa;[26.09787003741949, 61.826184883158014, 0.0]
23929;Tie 4 Hupeli;Jyväskylä;Joutsa;[25.896280006617168, 62.23451757353958, 0.0]
23930;Tie 9 Jämsä;Jämsä;Orivesi;[25.162482785799703, 61.84994013455019, 0.0]
23931;Tie 18 Petäjävesi;Jyväskylä;Keuruu;[25.394670083101833, 62.27166605521921, 0.0]
23932;Tie 4 Hännilänsalmi;Viitasaari;Jyväskylä;[25.81486992025192, 63.04155714347745, 0.0]
23933;Tie 4 Palokka;Äänekoski;Jyväskylä;[25.728211025278227, 62.2784692685905, 0.0]
23934;Tie 637 Tiituspohja;Laukaa;Jyväskylä;[25.82149035443554, 62.30092715740558, 0.0]
23935;Tie 4 Toivakka;Jyväskylä;Joutsa;[25.97890668446992, 62.106345818914285]
23936;Tie 4 Vehniä;Äänekoski;Jyväskylä;[25.682378517494445, 62.44338000433508]
23937;Tie 77 Viitasaari, Taimoniemi;Siilinjärvi;Viitasaari;[25.815228318377095, 63.144195146300405, 0.0]
23998;Tie 4 Mäntsälä, etelä;Lahti;Helsinki;[25.24894891769886, 60.598953238675506, 0.0]
24001;Tie 3 Huissi;Laihia;Kurikka;[22.277020316583926, 62.79170758305947, 0.0]
24002;Tie 3 Hälsingby;Vaasa;Laihia;[21.809896318852314, 63.02072810775903, 0.0]
24003;Tie 8 Mustasaari, Koivulah;Kokkola;Vaasa;[21.785075116752665, 63.14701574136417, 0.0]
24004;Tie 18 Isokyrö;Ylistaro;Laihia;[22.346243998933673, 62.979810457614455, 0.0]
24005;Tie 19 Luopajärvi;Seinäjoki;Jalasjärvi;[22.753174831541966, 62.58763820302684, 0.0]
24006;Tie 67 Ilmajoki;Seinäjoki;Kurikka;[22.619883040709972, 62.740972330732696, 0.0]
24007;Tie 19 Lapua;Lapua;Seinäjoki;[23.03908118895305, 62.939916978172725, 0.0]
24021;Tie 3 Koskue;Jalasjärvi;Parkano;[22.79714856178546, 62.393681766622755, 0.0]
24022;Tie 8 Närpiö;Vaasa;Pori;[21.426471106999013, 62.442163401867994, 0.0]
24023;Tie 8 Kokkola;Kalajoki;Kokkola;[23.23978547307975, 63.86026024420545, 0.0]
24024;Tie 66 Alavus;Alavus;Virrat;[23.62692681999789, 62.446835231804776, 0.0]
24026;Tie 8 Kovjoki;Kokkola;Vaasa;[22.707168683400674, 63.54858627681369, 0.0]
24027;Tie 16 Alajärvi;Kyyjärvi;Lapua;[23.678786550854273, 63.019730647493084, 0.0]
24028;Tie 68 Evijärvi;Pietarsaari;Alajärvi;[23.5146335626652, 63.33555147921558, 0.0]
24029;Tie 724 Raippaluoto;NA;Vaasa;[21.48340426319798, 63.206633439667456, 0.0]
24030;Tie 3 Vaasa;Vaasa;Laihia;[21.707042813173715, 63.06270712282088, 0.0]
24031;Tie 19 Alahärmä, Voltti;NA;Lapua;[22.800476099966165, 63.289082503220456, 0.0]
24032;Tie 18 Nurmo, Munakka;Seinäjoki;Ylistaro;[22.782038939893393, 62.85147267936942, 0.0]
24033;Tie 18 Alavus;Töysä;Alavus;[23.69102164970071, 62.59455887288562, 0.0]
24034;Tie 67 Seinäjoki;Lapua;Ilmajoki;[22.84477628454186, 62.79765115768766, 0.0]
24035;Tie 63 Kauhava;NA;NA;[23.067365778149437, 63.12406709899706, 0.0]
24036;Tie 68 Pietarsaari;NA;NA;[22.819768104749894, 63.63936206663554, 0.0]
24037;Tie 18 Nurmo;Kuortane;Seinäjoki;[23.010366988150782, 62.772412254864534, 0.0]
24038;Tie 63 Kaustinen;NA;NA;[23.752316183587546, 63.55933625425162, 0.0]
24039;Tie 68 Ähtäri;NA;Virrat;[24.044465347175194, 62.540258534206515, 0.0]
24040;Tie 28 Kannus;Kannus;Kokkola;[23.859097898448567, 63.89923544894399, 0.0]
24041;Tie 13 Kaustinen;NA;Kokkola;[23.464234034411955, 63.60091206072916, 0.0]
24042;Tie 67 Kauhajoki, pohjoine;Kurikka;Kauhajoki;[22.280582564661767, 62.480592836384595, 0.0]
24043;Tie 17367 Kurikka, Panttil;Kurikka;Kurikka;[22.375473738021856, 62.667424306282136, 0.0]
24044;Tie 66 Kuortane;Lapua;Alavus;[23.5169904800082, 62.80506326319935, 0.0]
24045;Tie 8 Mustasaari, Riimala;Vaasa;Pori;[21.762414756712257, 62.95148421256168, 0.0]
24046;Tie 67 Teuva;Teuva;Kaskinen;[21.683516663335716, 62.471338361339335, 0.0]
24047;Tie 3 Kurikka;Vaasa;Tampere;[22.431398056888487, 62.640242764026766, 0.0]
24048;Tie 13 Kokkola;Kyyjärvi;Kokkola;[23.213805349701705, 63.79828661029891, 0.0]
24049;Tie 19 Lapua;Uusikaarlepyy;Lapua;[23.055275754648154, 63.01967957808184, 0.0]
24050;Tie 8 Kristiinankaupunki;Vaasa;Pori;[21.530825261149673, 62.06778626221459, 0.0]
24051;Tie 3 Laihia, Perälä;Vaasa;Kurikka;[22.045874579290242, 62.95586989680695, 0.0]
24052;Tie 8 Himanka;Oulu;Kokkola;[23.641946590131145, 64.04918033858911, 0.0]
24053;Tie 18 Laihia, Vedenoja;Ylistaro;Laihia;[22.08062599679696, 62.99199602232256, 0.0]
24054;Tie 44 Kauhajoki;Kurikka;Honkajoki;[22.21536834891373, 62.44789658692872, 0.0]
24055;Tie 68 Lehtimäki;Alajärvi;Ähtäri;[23.937685338900803, 62.808305894906034, 0.0]
24056;Tie 18 Alavus;Alavus;NA;[23.467482686043926, 62.59238839688381, 0.0]
24057;Tie 8 Vaasa, Yhdystie;NA;NA;[21.671130508689323, 63.08700183377254, 0.0]
24058;Tie 16 Ylistaro;NA;NA;[22.547341374220206, 62.96008175425806, 0.0]
24059;Tie 19 Nurmo;Lapua;Seinäjoki;[22.925755515606973, 62.82688142671121, 0.0]
24060;Tie 66 Alavus, pohjoinen;NA;NA;[23.575968185451767, 62.63524092466646, 0.0]
24061;Tie 18 Seinäjoki, Pajuneva;NA;NA;[22.851668746597856, 62.810610634260115, 0.0]
24062;Tie 18 Töysä, Jokikylä;NA;NA;[23.763368611078253, 62.613384369338775, 0.0]
24063;Tie 8 Kaitsor, Vöyri-Maksamaa;NA;NA;[22.282447315088493, 63.25634494747018, 0.0]
24064;Tie 13 Perho, Möttönen;NA;NA;[24.522278738152576, 63.167325185354926, 0.0]
24065;Tie 18 Ähtäri, Inha;NA;NA;[24.122217640779223, 62.5555259711701, 0.0]
24066;Tie 8 Mustassaari, Lintuvuori;NA;NA;[21.719721324534092, 63.13004400989782, 0.0]
24067;Tie 8 Vaasa, Böle;NA;NA;[21.654017272716082, 63.10749272879291, 0.0]
24068;Tie 19 Ilmajoki, Rengonkylä;Seinäjoki;Jalasjärvi;[22.837218555792045, 62.70927737499021, 0.0]
24069;Tie 19 Seinäjoki,Kertunlaakso;Seinäjoki;Jalasjärvi;[22.837267538097127, 62.709485586437026, 0.0]
24101;Tie 4 Pyhäjärvi;Kärsämäki;Pihtipudas;[25.784847193010183, 63.62371474377061, 0.0]
24103;Tie 28 Sievi;Nivala;Kannus;[24.738348348595935, 63.87209781417985, 0.0]
24104;Tie 27 Alavieska;Ylivieska;Kalajoki;[24.352837915331644, 64.12312663435713, 0.0]
