ID;Name;Direction1;Direction2;Coordinates
24421;Tie 21 Kolari;Muonio;Ylitornio;[23.895950843738724, 67.22702189026994, 0.0]
24422;Tie 79 Jääskö;Kittilä;Rovaniemi;[25.254241404767914, 66.99332778443214, 0.0]
24423;Tie 81 Posio, Peräposio;Posio;Rovaniemi;[27.750969999659286, 66.18815105950287, 0.0]
24424;Tie 4 Rovaniemi, Olkkajärv;Sodankylä;Rovaniemi;[26.076851210348543, 66.60039622184824, 0.0]
24425;Tie 78 Ranua, Saukkokangas;Rovaniemi;Ranua;[26.25236945483177, 66.15925971238605, 0.0]
24426;Tie 5 Suomu;Kemijärvi;Kuusamo;[28.113812682899404, 66.55097933200952, 0.0]
24427;Tie 83 Ylitornio, Raanujär;Rovaniemi;Pello;[24.849212637739523, 66.63949768659363, 0.0]
24429;Tie 91 Inari, Rajajooseppi;Venäjä;Ivalo;[28.47252489865853, 68.47600605850812, 0.0]
24430;Tie 82 Salla, Kelloselkä;Venäjä;Salla;[29.033167373454017, 66.94372187446767, 0.0]
24431;Tie 9211 Tornio;Ruotsi;Suomi;[24.146168917536997, 65.84133065623467, 0.0]
24432;Tie 98 Aavasaksa;Ruotsi;Suomi;[23.688378443231066, 66.3788738229354, 0.0]
24433;Tie 937 Pello;Ruotsi;Suomi;[23.98623336875826, 66.80113560219937, 0.0]
24434;Tie 943 Kolari;Ruotsi;Suomi;[23.748756378014004, 67.31139955866476, 0.0]
24435;Tie 954 Muonio;Ruotsi;Suomi;[23.665253132233218, 67.93944888984883, 0.0]
24436;Tie 959 Enontekiö, Karesuv;Ruotsi;Suomi;[22.476785072228413, 68.44367025034951, 0.0]
24437;Tie 4 Jokisuu;Tornio;Kemi;[24.529133648167907, 65.79074769005473, 0.0]
24438;Tie 4 Jokisuu;Tornio;Kemi;[24.521032118686275, 65.79449482312549, 0.0]
24439;Tie 29 Kemi, Luukkaankanga;Tornio;Kemi;[24.394621639491195, 65.82622260467654, 0.0]
24440;Tie 29 Tornio 1;Tornio;Kemi;[24.207943759136324, 65.84054791119492, 0.0]
24441;Tie 29 Tornio 2;Tornio;Kemi;[24.20494753157769, 65.8404932534115, 0.0]
24442;Tie 92 Inari, Näätämö;Norja;Suomi;[29.115379788675764, 69.66844007603143, 0.0]
24443;Tie 970 Utsjoki, Nuorgam;NA;Suomi;[27.96064748861198, 70.08865895286868, 0.0]
24444;Tie 4 Utsjoki;NA;Suomi;[27.03007606329961, 69.90983047498898, 0.0]
24445;Tie 92 Karigasniemi;Norja;Suomi;[25.845486190923026, 69.39829119177091, 0.0]
24446;Tie 93 Enontekiö, Kivilomp;NA;Suomi;[23.32153682011911, 68.6620237883972, 0.0]
24447;Tie 21 Enontekiö, Kilpisjä;Norja;Muonio;[20.763701235233857, 69.07068181538911, 0.0]
24448;Tie 4 Torvinen;Sodankylä;Rovaniemi;[26.641631785429485, 67.18629774091528, 0.0]
24449;Tie 4 Yläpostojoki;Inari;Sodankylä;[26.757701307416045, 67.73491313817249, 0.0]
24450;Tie 4 Rovaniemi;Sodankylä;Rovaniemi;[25.72582414144971, 66.5038814323133, 0.0]
24451;Tie 4 Rovaniemi, Ala-Korkalo;Rovaniemi;Kemi;[25.578162424696956, 66.45307006625514, 0.0]
24452;Tie 4 Kemi, Marostenmäki;Tornio;Kemi;[24.685796179971685, 65.69221000335426, 0.0]
24453;Tie 4 Kemi, Siikalahti;Tornio;Kemi;[24.626501555572837, 65.71123650415906, 0.0]
24454;Tie 4 Kemi, Peurasaari;Tornio;Kemi;[24.593543163509604, 65.72761520553784, 0.0]
24455;Tie 4 Kemi, Karjalahti;Tornio;Kemi;[24.587776108324427, 65.73939200740669, 0.0]
24456;Tie 4 Kemi, Kivikko;Tornio;Kemi;[24.573752229618528, 65.75254588353047, 0.0]
24457;Tie 4 Kemi, Ristikangas;Tornio;Kemi;[24.5719853304313, 65.76297627989602, 0.0]
24458;Tie 21 Tornio;Kilpisjärvi;Tornio;[24.166525318254713, 65.87157306923993, 0.0]
24459;Tie 21 Ylitornio;Kilpisjärvi;Tornio;[23.69573351107162, 66.36503718176978, 0.0]
24460;Tie 79 Ylikylä;Maalahti;Rovaniemi;[25.6643289996252, 66.53467430824068, 0.0]
24461;Tie 81 Vaarala;Posio;Rovaniemi;[25.874690640276512, 66.51833725882823, 0.0]
24462;kt 79 Yli-Kittilä;Muonio;Rovaniemi;[24.86271861110813, 67.69720607021371]
24463;Tie 5 Kemijärvi, Sipovaara;Kemijärvi;Kuusamo;[27.475597970329286, 66.71565794748491]
24464;Tie 4 Rovaniemi_Oijustie;Rovaniemi;Kemi;[25.698493646311622, 66.49083469901053, 0.0]
24465;Tie 4 Rovaniemi_Vapaudentie;Rovaniemi;Kemi;[25.71415308232599, 66.49653615427752, 0.0]
24466;Tie 4 Rovaniemi, Syväsenvaara;Sodankylä;Rovaniemi;[25.759408826088727, 66.52695917253352, 0.0]
24467;Tie 78 Rovaniemi, Pöykkölä;Rovaniemi;Ranua;[25.74464274015496, 66.48062426794236, 0.0]
24499;Tie 971 Tornio 3;Norja;Suomi;[24.20253247990819, 65.8407364797517, 0.0]
24601;Tie 1 Lakiamäki;Turku;Helsinki;[23.378760192719454, 60.37240429795262, 0.0]
24602;Tie 1 Salo, Kruusila;Turku;Helsinki;[23.473694824439825, 60.38072629251626, 0.0]
24603;Tie 1 Syvälampi;Turku;Helsinki;[23.63186224286315, 60.37816732433743, 0.0]
24604;Tie 1 Lahnajärvi;Turku;Helsinki;[23.725722668155377, 60.37635983508702, 0.0]
24605;Tie 1 Hauklampi;Turku;Helsinki;[23.872018480283927, 60.366762297698855, 0.0]
24606;Tie 1 Pitkämäki;Turku;Helsinki;[23.949029937479597, 60.32510772610262, 0.0]
24607;Tie 1 Karnainen;Turku;Helsinki;[24.07946352146368, 60.289062855099885, 0.0]
